gene	C0	C12	C24	C36	C48	C60	C72	C84	C96	C120	C168	C216	CC12	CC24	CC36	CC48	CC60	CC72	CC84	CC96	CC120	CC168	CC216	CD0	CD12	CD24	CD36	CD48	CD60	CD72	CD84	CD96	CD120	CD168	CD216	D0	D12	D24	D36	D48	D60	D72	D84	D96	D120	D168	D216	DD12	DD24	DD36	DD48	DD60	DD72	DD84	DD96	DD120	DD168	DD216
SnRK1.1	25.683333333333334	36.1	34.18	47.906666666666666	28.78333333333333	42.73666666666667	39.7	39.089999999999996	42.76333333333333	37.89333333333334	34.77333333333333	35.54666666666667	33.33	37.31333333333333	49.096666666666664	43.85	43.81	47.29333333333333	41.473333333333336	41.52333333333333	37.013333333333335	27.169999999999998	26.333333333333332	26.78	34.89666666666667	31.03333333333333	45.39000000000001	38.64666666666667	44.836666666666666	35.68	38.36	30.736666666666668	35.96	30.756666666666664	39.95666666666667	26.05	40.193333333333335	29.060000000000002	39.296666666666674	29.263333333333332	33.87	27.75	38.50333333333333	35.99333333333333	30.706666666666667	36.593333333333334	36.836666666666666	34.800000000000004	30.346666666666664	41.76333333333333	34.14	38.586666666666666	32.98333333333333	37.550000000000004	35.75666666666667	34.48333333333333	33.4	28.53
SnRK1.2	146.58333333333334	65.58666666666666	132.14666666666668	224.5533333333333	259.3566666666667	282.17333333333335	227.35999999999999	116.87333333333333	77.46666666666665	73.20333333333333	43.38999999999999	46.949999999999996	153.26	123.45333333333333	103.24000000000001	113.12	116.42333333333333	138.62666666666667	72.56	67.67333333333333	57.22666666666667	39.81	48.63333333333333	140.10333333333332	151.17	151.63	139.64666666666668	146.98333333333332	122.37333333333333	98.45333333333333	89.82333333333334	80.30333333333333	72.75666666666666	46.22666666666667	59.276666666666664	164.79	218.24666666666667	303.81666666666666	288.34	245.6866666666667	399.1133333333334	289.4533333333333	108.83	107.16666666666667	91.49333333333334	68.86333333333333	66.34666666666666	135.83666666666667	146.39666666666668	153.39333333333335	141.67666666666665	138.63333333333333	116.55	110.81333333333333	76.13	74.78	57.830000000000005	48.29666666666666
SnRK2.2	25.846666666666664	51.25	23.180000000000003	42.43	40.36333333333334	65.60000000000001	24.853333333333335	47.56	12.546666666666667	14.483333333333334	6.59	95.62666666666667	58.093333333333334	16.12333333333333	61.27	20.043333333333333	79.81	20.513333333333332	75.58666666666666	11.81	6.653333333333333	5.753333333333333	144.40333333333334	28.900000000000002	49.410000000000004	20.836666666666666	35.88333333333333	21.063333333333333	68.68666666666667	14.589999999999998	65.97333333333333	9.476666666666667	8.683333333333334	8.909999999999998	110.37	40.99333333333333	41.53666666666667	44.52	31.820000000000004	33.31333333333333	47.95666666666667	27.243333333333336	52.6	13.966666666666667	18.243333333333336	10.39	82.12333333333333	46.02	30.42	32.48666666666667	23.12	55.43	14.780000000000001	66.22	9.453333333333333	9.196666666666667	6.823333333333333	135.64666666666668
SnRK2.4	75.54333333333334	85.11666666666666	61.22666666666666	53.25	39.07	49.94	42.26333333333333	59.67333333333334	59.00666666666666	65.35666666666667	100.11333333333333	100.39333333333333	78.64333333333333	74.35333333333334	77.34333333333333	64.96	69.29666666666667	55.05666666666667	86.53666666666668	79.33666666666666	73.73	109.00333333333333	100.3	75.81	93.48666666666668	70.90333333333334	80.82333333333334	68.22333333333334	78.88	67.63	91.11333333333334	74.45666666666666	76.20666666666666	114.19666666666667	102.96333333333332	72.24333333333334	72.24333333333333	56.669999999999995	67.65666666666667	54.28	54.526666666666664	50.56666666666666	91.52	74.17	72.24333333333333	93.23666666666668	111.42666666666666	107.00999999999999	96.54666666666667	97.49333333333334	85.50333333333333	97.78000000000002	82.16666666666667	106.87333333333333	92.85666666666667	84.02333333333333	104.71666666666665	112.78000000000002
SnRK2.6	17.466666666666665	22.939999999999998	18.19666666666667	23.233333333333334	20.05666666666667	22.2	23.243333333333336	27.39	23.456666666666667	24.659999999999997	18.883333333333336	20.04	22.036666666666665	26.656666666666666	26.47666666666667	29.14	24.083333333333332	25.680000000000003	26.179999999999996	22.91333333333333	21.580000000000002	21.026666666666667	15.803333333333335	19.58666666666667	22.586666666666662	26.346666666666664	26.036666666666665	29.24666666666667	27.39	24.603333333333335	23.48	24.78333333333333	24.513333333333332	18.41	17.349999999999998	20.286666666666665	26.01	21.76	26.16333333333333	23.13	24.986666666666665	25.59	25.646666666666665	26.330000000000002	26.7	23.25	19.546666666666667	23.44333333333333	27.626666666666665	32.48	29.496666666666666	29.856666666666666	29.709999999999997	23.623333333333335	23.453333333333333	23.156666666666666	20.606666666666666	13.726666666666667
SnRK2.7a	12.826666666666668	7.75	16.563333333333333	25.37	39.06333333333333	18.663333333333334	33.78666666666667	21.006666666666664	34.99666666666667	32.919999999999995	4.78	2.223333333333333	15.729999999999999	7.976666666666667	5.866666666666667	9.09	11.11	13.37	7.633333333333333	6.636666666666667	7.866666666666667	3.9933333333333336	2.643333333333333	12.456666666666669	8.193333333333333	8.123333333333333	8.283333333333333	10.5	10.103333333333333	18.343333333333334	9.93	18.323333333333334	18.58666666666667	5.023333333333333	3.7300000000000004	21.540000000000003	33.669999999999995	38.050000000000004	46.27666666666667	54.083333333333336	40.52333333333333	58.93000000000001	18.73	41.65	27.853333333333335	15.706666666666669	7.1000000000000005	13.603333333333333	11.273333333333333	12.903333333333334	15.03	15.486666666666666	22.223333333333333	18.763333333333332	22.310000000000002	16.953333333333333	9.966666666666667	5.0
SnRK2.7b	17.023333333333333	13.15	25.186666666666667	21.709999999999997	38.29	23.296666666666667	34.800000000000004	29.676666666666666	30.94333333333333	34.97	23.573333333333334	13.523333333333333	15.713333333333333	33.04	16.223333333333333	28.753333333333334	18.756666666666664	29.576666666666668	16.153333333333332	23.013333333333335	31.456666666666667	22.98	27.093333333333334	29.103333333333335	19.686666666666667	37.67	21.439999999999998	30.766666666666666	24.060000000000002	34.72	21.99	36.69	30.96666666666667	24.189999999999998	14.416666666666666	39.48666666666667	44.25666666666667	53.673333333333325	47.296666666666674	59.839999999999996	43.403333333333336	62.17666666666667	32.196666666666665	49.373333333333335	58.18666666666667	36.419999999999995	19.503333333333334	21.403333333333336	30.900000000000002	28.28333333333333	35.21	23.88	38.653333333333336	25.400000000000002	38.43333333333334	42.17666666666667	27.650000000000002	13.99
SnRK2.8a	50.24	20.936666666666667	27.223333333333333	34.166666666666664	40.913333333333334	35.72	47.953333333333326	48.49666666666667	49.85	65.08333333333333	33.50666666666667	37.82333333333333	86.75999999999999	104.78333333333335	56.32	87.47666666666667	44.74666666666667	70.56666666666666	42.82333333333333	74.04333333333334	76.32	64.84666666666668	52.82	43.43666666666667	97.53333333333335	91.05	61.026666666666664	76.75666666666666	54.75	63.81333333333333	59.38333333333333	54.31666666666666	68.62666666666667	48.18	28.69666666666667	35.21666666666667	30.290000000000003	31.81	33.803333333333335	28.97	28.416666666666668	37.053333333333335	36.77666666666667	39.190000000000005	44.11666666666667	30.956666666666667	43.026666666666664	85.24333333333334	76.43333333333334	56.15	66.56	53.98	57.85	54.13333333333333	65.95666666666666	68.72000000000001	33.376666666666665	55.919999999999995
SnRK2.8b	13.13	22.30333333333333	11.75	14.83	9.786666666666667	12.076666666666666	10.023333333333333	21.09	12.443333333333333	14.253333333333332	19.67	25.253333333333334	18.183333333333334	16.2	16.903333333333332	14.99	15.356666666666667	13.479999999999999	15.08	16.246666666666666	15.166666666666666	20.956666666666667	34.35	13.473333333333334	19.883333333333333	15.62	16.603333333333335	14.353333333333333	14.663333333333334	12.746666666666664	17.3	16.373333333333335	17.493333333333332	18.133333333333333	27.503333333333334	11.246666666666668	17.26	9.523333333333333	15.433333333333332	9.6	10.89	10.323333333333332	16.55333333333333	10.81	12.88	14.863333333333335	17.813333333333333	16.56	15.700000000000001	16.44333333333333	16.029999999999998	14.693333333333333	13.840000000000002	16.403333333333332	15.686666666666667	17.106666666666666	13.426666666666668	27.76
SnRK2.9	0.35333333333333333	0.21999999999999997	0.35333333333333333	0.10666666666666667	0.2866666666666667	0.20333333333333334	0.7633333333333333	0.47000000000000003	0.7000000000000001	0.33666666666666667	0.5566666666666666	0.25333333333333335	0.9733333333333333	1.8933333333333333	5.96	4.92	3.516666666666667	2.43	3.5666666666666664	2.8866666666666667	2.2466666666666666	1.4799999999999998	1.1033333333333333	0.12333333333333334	0.9033333333333333	2.6533333333333333	2.4933333333333336	4.8566666666666665	5.390000000000001	4.663333333333333	6.633333333333333	3.893333333333333	4.6499999999999995	2.066666666666667	1.1166666666666667	0.3833333333333333	0.39000000000000007	0.48666666666666664	0.10000000000000002	0.43	0.3666666666666667	1.4833333333333332	0.6533333333333333	1.1266666666666667	0.7966666666666667	0.38999999999999996	0.6133333333333333	0.5833333333333334	1.38	2.03	2.3266666666666667	2.62	3.0033333333333334	3.31	3.44	2.973333333333333	1.5399999999999998	7.37
