	Family
Acetyl-CoA	Acetyl-CoA
SlACS1	SlACS
SlACS2	SlACS
SlPDC1	SlPDC
SlPDC2	SlPDC
SlPDC3	SlPDC
SlPDC4	SlPDC
SlPDC5	SlPDC
SlPDC6	SlPDC
SlPDC7	SlPDC
SlB3.1	SlB
SlB3.5	SlB
SlB3.6	SlB
SlB3.7	SlB
SlB3.8	SlB
SlERF1	SlERF
SlERF5	SlERF
SlERF6	SlERF
SlERF11	SlERF
SlERF12	SlERF
SlERF13	SlERF
SlERF14	SlERF
SlERF15	SlERF
SlGeBP1	SlGeBP1
SlHLH2	SlHLH
SlHLH7	SlHLH
SlHLH9	SlHLH
SlHLH14	SlHLH
SlHLH15	SlHLH
SlHLH16	SlHLH
SlHLH17	SlHLH
SlHSF1	SlHSF
SlHSF2	SlHSF
SlHSF3	SlHSF
SlMYB5	SlMYB
SlMYB10	SlMYB
SlMYB14	SlMYB
SlMYB15	SlMYB
SlMYB21	SlMYB
SlMYB22	SlMYB
SlMYB23	SlMYB
SlMYB24	SlMYB
SlMYB25	SlMYB
SlMYB26	SlMYB
SlMYB27	SlMYB
SlMYB28	SlMYB
SlMYB29	SlMYB
SlMYB30	SlMYB
SlMYB31	SlMYB
SlMYB32	SlMYB
SlMYB33	SlMYB
SlMYB34	SlMYB
SlNAC3	SlNAC3
SlTCP2	SlTCP
SlTCP3	SlTCP
SlTrihelix4	SlTrihelix
SlTrihelix6	SlTrihelix
SlWRKY1	SlWRKY
SlWRKY4	SlWRKY
SlWRKY5	SlWRKY
SlZIP1	SlZIP
SlZIP4	SlZIP
SlZIP5	SlZIP
SlZIP7	SlZIP
SlZIP9	SlZIP
SlZIP10	SlZIP
SlZIP11	SlZIP
SlZIP12	SlZIP
